day,N,N1,N2,M,M[-1],N1/M[-1],N2/M[-1],N1/N,N2/N
2020-02-17,265,241.0,24.0,61933.0,61692.0,0.003906503274330546,0.00038902937171756465,0.909433962264151,0.09056603773584905
2020-02-18,264,250.0,14.0,62183.0,61933.0,0.004036620218623351,0.00022605073224290766,0.946969696969697,0.05303030303030303
2020-02-19,242,221.0,21.0,62404.0,62183.0,0.0035540260199733048,0.0003377128797259701,0.9132231404958677,0.08677685950413223
2020-02-20,224,200.0,24.0,62604.0,62404.0,0.003204922761361451,0.00038459073136337413,0.8928571428571429,0.10714285714285714
2020-02-21,273,248.0,25.0,62852.0,62604.0,0.003961408216727366,0.00039933550571848446,0.9084249084249084,0.09157509157509157
2020-02-22,259,240.0,19.0,63092.0,62852.0,0.003818494240437854,0.0003022974607013301,0.9266409266409267,0.07335907335907337
2020-02-23,261,240.0,21.0,63332.0,63092.0,0.003803968807455779,0.00033284727065238065,0.9195402298850575,0.08045977011494253
2020-02-24,244,216.0,28.0,63548.0,63332.0,0.0034105981178551128,0.0004421145708330702,0.8852459016393442,0.11475409836065574
2020-02-25,259,234.0,25.0,63782.0,63548.0,0.0036822559325234466,0.0003934034115943853,0.9034749034749034,0.09652509652509653
2020-02-26,257,227.0,30.0,64009.0,63782.0,0.00355899783638017,0.0004703521369665423,0.8832684824902723,0.11673151750972763
2020-02-27,228,200.0,28.0,64209.0,64009.0,0.0031245606086644064,0.0004374384852130169,0.8771929824561403,0.12280701754385964
2020-02-28,255,215.0,40.0,64424.0,64209.0,0.003348440249809217,0.0006229656278714822,0.8431372549019608,0.1568627450980392
2020-02-29,297,282.0,15.0,64706.0,64424.0,0.00437725071401962,0.00023283248478827767,0.9494949494949495,0.050505050505050504
2020-03-01,305,273.0,32.0,64979.0,64706.0,0.004219083238030477,0.0004945445553735357,0.8950819672131147,0.10491803278688525
2020-03-02,380,350.0,30.0,65329.0,64979.0,0.0053863555918065836,0.00046168762215485,0.9210526315789473,0.07894736842105263
2020-03-03,272,248.0,24.0,65577.0,65329.0,0.003796170154142877,0.00036737130523963323,0.9117647058823529,0.08823529411764706
2020-03-04,343,314.0,29.0,65891.0,65577.0,0.004788264177989234,0.0004422282202601522,0.9154518950437318,0.08454810495626822
2020-03-05,334,302.0,32.0,66193.0,65891.0,0.00458332700975854,0.00048565054408037517,0.9041916167664671,0.09580838323353294
2020-03-06,314,289.0,25.0,66482.0,66193.0,0.004366020576193857,0.0003776834408472195,0.9203821656050956,0.07961783439490445
2020-03-07,259,236.0,23.0,66718.0,66482.0,0.0035498330375139135,0.0003459583045034746,0.9111969111969112,0.0888030888030888
2020-03-08,246,229.0,17.0,66947.0,66718.0,0.0034323570850445157,0.0002548038010731737,0.9308943089430894,0.06910569105691057
2020-03-09,209,185.0,24.0,67132.0,66947.0,0.0027633799871540172,0.00035849253887403466,0.8851674641148325,0.11483253588516747
2020-03-10,264,236.0,28.0,67368.0,67132.0,0.003515462074718465,0.00041708872072930943,0.8939393939393939,0.10606060606060606
2020-03-11,291,264.0,27.0,67632.0,67368.0,0.003918774492340577,0.0004007837548984681,0.9072164948453608,0.09278350515463918
